number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_gap_f1,user_attrs_test_accuracy,user_attrs_train_f1,state
0,0.816815680353734,2026-05-13 17:14:15.089557,2026-05-13 17:14:17.130045,0 days 00:00:02.040488,12,30,7,219,0.00706988227591776,0.8357836338418861,0.8238855626296517,COMPLETE
1,0.8187481722326126,2026-05-13 17:14:17.131024,2026-05-13 17:14:19.023750,0 days 00:00:01.892726,12,20,7,240,0.013549885201148859,0.8371705963938973,0.8322980574337615,COMPLETE
2,0.8139144356277791,2026-05-13 17:14:19.025024,2026-05-13 17:14:20.984599,0 days 00:00:01.959575,10,45,11,447,0.004351245937807335,0.8343966712898752,0.8182656815655864,COMPLETE
3,0.8234217572924241,2026-05-13 17:14:20.985843,2026-05-13 17:14:22.245791,0 days 00:00:01.259948,9,16,8,380,0.012400536728817912,0.840499306518724,0.835822294021242,COMPLETE
4,0.8163139470760579,2026-05-13 17:14:22.246970,2026-05-13 17:14:22.871789,0 days 00:00:00.624819,5,7,9,218,0.006413738222150744,0.8363384188626906,0.8227276852982086,COMPLETE
5,0.8149499215250827,2026-05-13 17:14:22.872912,2026-05-13 17:14:23.596497,0 days 00:00:00.723585,7,44,10,243,0.00350609052659967,0.8352288488210817,0.8184560120516824,COMPLETE
6,0.8157516934600627,2026-05-13 17:14:23.597453,2026-05-13 17:14:24.264891,0 days 00:00:00.667438,10,36,5,208,0.0050169944871981675,0.835506241331484,0.8207686879472609,COMPLETE
7,0.8133099754127979,2026-05-13 17:14:24.265824,2026-05-13 17:14:25.434970,0 days 00:00:01.169146,7,47,18,436,0.0043787383619491305,0.8341192787794729,0.8176887137747471,COMPLETE
8,0.8162945445472163,2026-05-13 17:14:25.435917,2026-05-13 17:14:26.177179,0 days 00:00:00.741262,6,21,12,253,0.006431379746338783,0.8360610263522885,0.8227259242935551,COMPLETE
9,0.8243290984463016,2026-05-13 17:14:26.177908,2026-05-13 17:14:27.316056,0 days 00:00:01.138148,12,12,2,328,0.022597382554086387,0.8407766990291261,0.846926481000388,COMPLETE
10,0.8287914077173804,2026-05-13 17:14:27.317080,2026-05-13 17:14:27.855777,0 days 00:00:00.538697,15,5,2,135,0.06105915322138955,0.8424410540915395,0.8898505609387699,COMPLETE
11,0.8295880451587347,2026-05-13 17:14:27.856575,2026-05-13 17:14:28.340602,0 days 00:00:00.484027,15,6,2,112,0.05035796149713467,0.8435506241331483,0.8799460066558694,COMPLETE
12,0.8297403330571502,2026-05-13 17:14:28.341501,2026-05-13 17:14:28.778057,0 days 00:00:00.436556,15,6,3,107,0.050128661198795554,0.8438280166435506,0.8798689942559458,COMPLETE
13,0.8235483870425222,2026-05-13 17:14:28.779143,2026-05-13 17:14:29.171407,0 days 00:00:00.392264,15,12,4,103,0.025723363778706876,0.8396671289875173,0.8492717508212291,COMPLETE
14,0.8187597994383193,2026-05-13 17:14:29.172623,2026-05-13 17:14:29.679958,0 days 00:00:00.507335,14,25,14,155,0.00904278217391119,0.8371705963938973,0.8278025816122305,COMPLETE
15,0.8256774174862425,2026-05-13 17:14:29.680916,2026-05-13 17:14:30.245778,0 days 00:00:00.564862,13,10,4,156,0.03057211524246639,0.8413314840499305,0.8562495327287089,COMPLETE
16,0.8224711817547903,2026-05-13 17:14:30.247172,2026-05-13 17:14:31.263147,0 days 00:00:01.015975,14,16,5,308,0.013253593639299677,0.8396671289875173,0.83572477539409,COMPLETE
17,0.8170053269264,2026-05-13 17:14:31.264021,2026-05-13 17:14:31.639711,0 days 00:00:00.375690,14,33,20,113,0.004906618656564277,0.8363384188626906,0.8219119455829643,COMPLETE
18,0.8277937571224226,2026-05-13 17:14:31.640829,2026-05-13 17:14:32.343649,0 days 00:00:00.702820,15,5,15,175,0.05074051877576302,0.8421636615811373,0.8785342758981857,COMPLETE
19,0.8210196200593589,2026-05-13 17:14:32.344456,2026-05-13 17:14:34.022576,0 days 00:00:01.678120,13,17,2,500,0.01470191447528224,0.8385575589459083,0.8357215345346412,COMPLETE
