fold,test_f1,train_f1,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_roc_auc,train_roc_auc
0,0.8163265306122449,0.9772372934206424,0.8254847645429363,0.9774969173859432,0.8641975308641975,0.9898926089703095,0.7734806629834254,0.9649014778325123,0.9045119705340701,0.999213761174968
1,0.8417910447761194,0.9270358306188925,0.853185595567867,0.9309494451294698,0.9155844155844156,0.9840940525587828,0.7790055248618785,0.8762315270935961,0.9284530386740332,0.9931863102840114
2,0.8323353293413174,0.9816485225505444,0.8448753462603878,0.9818125770653514,0.9084967320261438,0.9918290383406663,0.7679558011049724,0.9716748768472906,0.9098219766728053,0.999229155263638
3,0.7823343848580442,0.9249190938511327,0.8088642659279779,0.9284833538840938,0.9117647058823529,0.9747612551159618,0.6850828729281768,0.8799261083743842,0.8885512584407612,0.9928943927507146
4,0.8313253012048193,0.8970343218927024,0.8448753462603878,0.904747225647349,0.9139072847682119,0.9774872912127814,0.7624309392265194,0.8288177339901478,0.9104051565377532,0.982785607857447
5,0.8192771084337349,0.9297227595099935,0.8333333333333334,0.9328197226502312,0.8947368421052632,0.976303317535545,0.7555555555555555,0.8873846153846154,0.8914197530864199,0.9929454890788225
6,0.8421052631578947,0.9765990639625585,0.85,0.9768875192604006,0.8888888888888888,0.990506329113924,0.8,0.963076923076923,0.9157716049382716,0.9992307692307693
7,0.8746355685131195,0.979757085020243,0.8805555555555555,0.9799691833590138,0.9202453987730062,0.9918032786885246,0.8333333333333334,0.968,0.9381172839506172,0.9990700854700854
8,0.8134556574923547,0.9241736876215165,0.8305555555555556,0.9278890600924499,0.9047619047619048,0.9760438056125941,0.7388888888888889,0.8775384615384615,0.918858024691358,0.9927779677113011
9,0.7828746177370031,0.9112426035502958,0.8027777777777778,0.9167950693374423,0.8707482993197279,0.9781227946365562,0.7111111111111111,0.8529230769230769,0.8701234567901235,0.9862081671415004
